Race,Lap,Position,Overtaker,Overtaken,Turn,Final,Live
Australia,2.0,4.0,Hulkenberg,Hamilton,11.0,,
Australia,3.0,6.0,Raikkonen,Vergne,11.0,,
Australia,3.0,8.0,Bottas,Kvyat,13.0,,
Australia,5.0,7.0,Bottas,Vergne,4.0,,
Australia,5.0,11.0,Ericsson,Sutil,,,
Australia,6.0,11.0,Sutil,Ericsson,,,
Australia,8.0,6.0,Bottas,Raikkonen,4.0,,
Australia,8.0,12.0,Maldonado,Ericsson,,,
Australia,9.0,14.0,Grosjean,Chilton,,,
Australia,16.0,12.0,Grosjean,Ericsson,,,
Australia,16.0,14.0,Bottas,Chilton,,,
Australia,16.0,15.0,Bottas,Gutierrez,1.0,,
Australia,16.0,15.0,Perez,Chilton,,,
Australia,16.0,16.0,Perez,Gutierrez,,,
Australia,16.0,16.0,Gutierrez,Chilton,,,
Australia,17.0,9.0,Kvyat,Sutil,,,
Australia,17.0,12.0,Bottas,Grosjean,,,
Australia,17.0,13.0,Bottas,Ericsson,,,
Australia,17.0,14.0,Perez,Ericsson,,,
Australia,18.0,11.0,Bottas,Maldonado,9.0,,
Australia,19.0,10.0,Bottas,Sutil,,,
Australia,19.0,15.0,Gutierrez,Ericsson,,,
Australia,20.0,13.0,Perez,Grosjean,13.0,,
Australia,21.0,12.0,Perez,Maldonado,,,
Australia,23.0,13.0,Grosjean,Maldonado,1.0,,
Australia,25.0,9.0,Bottas,Kvyat,1.0,,
Australia,28.0,13.0,Gutierrez,Maldonado,,,
Australia,46.0,7.0,Bottas,Vergne,Finish Line,,
Australia,52.0,6.0,Bottas,Hulkenberg,1.0,,
Australia,53.0,8.0,Raikkonen,Vergne,14.0,,
Malaysia,2.0,11.0,Bottas,Gutierrez,,,
Malaysia,3.0,7.0,Button,Magnussen,1.0,,
Malaysia,3.0,8.0,Massa,Magnussen,15.0,,
Malaysia,4.0,3.0,Vettel,Ricciardo,1.0,,
Malaysia,4.0,8.0,Magnussen,Massa,1.0,,
Malaysia,5.0,11.0,Kvyat,Gutierrez,1.0,,
Malaysia,12.0,9.0,Alonso,Grosjean,4.0,,
Malaysia,13.0,7.0,Ricciardo,Alonso,3.0,,
Malaysia,14.0,4.0,Vettel,Bottas,4.0,,
Malaysia,14.0,5.0,Ricciardo,Bottas,5.0,,
Malaysia,14.0,6.0,Alonso,Bottas,11.0,,
Malaysia,14.0,8.0,Button,Kobayashi,,,
Malaysia,14.0,10.0,Massa,Kvyat,,,
Malaysia,15.0,8.0,Massa,Kobayashi,,,
Malaysia,16.0,1.0,Hamilton,Hulkenberg,11.0,,
Malaysia,16.0,10.0,Bottas,Magnussen,,,
Malaysia,16.0,17.0,Ericsson,Vergne,,,
Malaysia,17.0,18.0,Raikkonen,Vergne,1.0,,
Malaysia,18.0,17.0,Raikkonen,Ericsson,1.0,,
Malaysia,19.0,13.0,Sutil,Gutierrez,,,
Malaysia,21.0,9.0,Bottas,Kvyat,1.0,,
Malaysia,25.0,14.0,Sutil,Chilton,4.0,,
Malaysia,25.0,16.0,Gutierrez,Ericsson,15.0,,
Malaysia,26.0,15.0,Gutierrez,Chilton,4.0,,
Malaysia,26.0,17.0,Raikkonen,Ericsson,12.0,,
Malaysia,27.0,10.0,Kvyat,Kobayashi,1.0,,
Malaysia,27.0,16.0,Raikkonen,Chilton,,,
Malaysia,28.0,11.0,Magnussen,Kobayashi,Finish Line,,
Malaysia,31.0,10.0,Magnussen,Kvyat,,,
Malaysia,31.0,12.0,Grosjean,Kobayashi,1.0,,
Malaysia,38.0,13.0,Raikkonen,Kobayashi,,,
Malaysia,46.0,15.0,Ricciardo,Chilton,4.0,,
Malaysia,53.0,4.0,Alonso,Hulkenberg,3.0,,
Bahrain,2.0,18.0,Grosjean,Kobayashi,1.0,,
Bahrain,3.0,17.0,Grosjean,Ericsson,1.0,,
Bahrain,4.0,16.0,Grosjean,Bianchi,,,
Bahrain,5.0,7.0,Hulkenberg,Alonso,1.0,,
Bahrain,5.0,18.0,Kobayashi,Ericsson,,,
Bahrain,6.0,14.0,Maldonado,Gutierrez,4.0,,
Bahrain,10.0,5.0,Button,Bottas,2.0,,
Bahrain,10.0,6.0,Hulkenberg,Bottas,4.0,,
Bahrain,10.0,17.0,Kobayashi,Bianchi,,,
Bahrain,11.0,10.0,Ricciardo,Magnussen,12.0,,
Bahrain,12.0,3.0,Perez,Massa,6.0,,
Bahrain,12.0,15.0,Bottas,Kobayashi,,,
Bahrain,13.0,14.0,Alonso,Kobayashi,,,
Bahrain,14.0,13.0,Kvyat,Kobayashi,1.0,,
Bahrain,14.0,14.0,Raikkonen,Kobayashi,,,
Bahrain,15.0,8.0,Bottas,Maldonado,,,
Bahrain,16.0,8.0,Massa,Maldonado,,,
Bahrain,16.0,11.0,Hulkenberg,Kvyat,11.0,,
Bahrain,16.0,12.0,Hulkenberg,Raikkonen,9.0,,
Bahrain,16.0,20.0,Vergne,Bianchi,,,
Bahrain,17.0,7.0,Alonso,Maldonado,1.0,,
Bahrain,17.0,8.0,Hulkenberg,Maldonado,,,
Bahrain,17.0,9.0,Perez,Maldonado,,,
